Id,Date,Title,Description
264,"March 23, 2020, Monday",Covid-19: RBI advances purchase of govt bonds to March 26 from March 30,"The first tranche of OMO purchase auction worth Rs 15,000 crore will be conducted on March 24"
265,"March 23, 2020, Monday","Covid-19 impact: HDFC, ICICI urge customers to use digital banking services",HDFC Bank has urged people to use cheque drop boxes to help reduce crowding in branches
266,"March 23, 2020, Monday","Statsguru: From SBI to ICICI Bank, lenders come to YES Bank's rescue","The bank, however, could not hide its bad debt under the carpet for long as RBI auditors forced all banks to disclose their bad ..."
267,"March 22, 2020, Sunday",An opportunity in Covid-19 crisis: Revisit all loan repayment contracts,"It is a chance for stakeholders in the banking sector to revisit contractual obligations, say experts"
268,"March 22, 2020, Sunday",How RBI set up war-room in just one day amid coronavirus outbreak,"The facility, operational from March 19 as part of the Business Contingency Plan (BCP), was up and running in 24 hours of the ..."
269,"March 22, 2020, Sunday","Coronavirus: Banks to ensure cash withdrawals, remittances at branches",The banks are working round-the-clock to ensure all digital channels are up to date and have all the information that you may ...
270,"March 22, 2020, Sunday",Covid-19: Banks brace for downing shutters in case cities go into lockdown,Some banks are going on an overdrive to secure employees who have to deal with the public at the branches on a daily basis with ...
271,"March 21, 2020, Saturday",Indian Bank urges customers to go digital to keep Coronavirus at bay,"Advises them to avoid ATMs and cash deals, says mobile and internet banking are both safe and convenient"
272,"March 21, 2020, Saturday",RBI extends curbs on PMC Bank by 3 months as it works on revival plan,"RBI has been talking to other authorities on sale of securities and loan recovery; Unlike in commercial banks, it has no powers ..."
273,"March 21, 2020, Saturday",RBI extends regulatory restrictions on PMC Bank by 3 months till June,"The RBI had put a six-month regulatory restriction on the bank on September 23, 2019"
274,"March 21, 2020, Saturday",Covid-19: SBI opens emergency credit line for borrowers till June 30,The loan will be offered at an interest rate of 7.25% with a tenure of 12 months.
275,"March 21, 2020, Saturday","RBI buys bonds worth Rs 10k cr, to conduct 2 more OMOs of Rs 30k cr","The central bank received bids worth Rs 45,049 crore for Friday's open market operation"
276,"March 20, 2020, Friday",SBI to provide lifeline emergency credit to coronavirus-hit borrowers,The ad-hoc loan facility named - COVID 19 Emergency Credit Line (CECL) is aimed at meeting the temporary liquidity mismatch ...
277,"March 20, 2020, Friday",SBI offers new credit scheme to meet liquidity mismatch amid Covid-19,"The loans can be repayable in 6 monthly installments after a moratorium period i.e, 6 months from the date of disbursement"
278,"March 20, 2020, Friday","CARE downgrades rating of Rana Kapoor-linked firm, citing CBI probe","Agency concerned investigation may hit asset valuation, monetisation"
279,"March 20, 2020, Friday",RBI to inject Rs 30k cr into market for financial stability amid Covid-19,"The central bank infused Rs 10,000 crore through open market operations on Friday"
280,"March 20, 2020, Friday",YES Bank crisis: Court sends Rana Kapoor to judicial custody till April 2,The former banker was arrested on March 8 by the ED under the provisions of Prevention of Money Laundering Act (PMLA) and was ...
281,"March 20, 2020, Friday","RBI names R Gandhi, Ananth Gopalkrishnan addl directors on YES Bank Board",Appointment is for two years; this is Gandhi's second stint in the same capacity
282,"March 20, 2020, Friday","Bernstein downgrades HDFC Bank on unsecured credit, succession plans","The brokerage lowered the bank's rating to 'underperform' from 'market-perform' earlier, and lowered target price to Rs 750, from ..."
283,"March 20, 2020, Friday",IBA withdrawal of communique on loans of up to Rs 200 cr stumps banks,IBA withdraws note on FinMin letter which had PMO inputs
284,"March 20, 2020, Friday","YES Bank plans to raise Rs 20,000 crore through certificate of deposits",CRISIL has assigned 'A2' rating to the programme
285,"March 19, 2020, Thursday",Coronavirus impact: Banks seeks RBI's nod to offer relief to borrowers,"Moratorium on loans should be offered, say CFOs"
286,"March 19, 2020, Thursday","YES Bank probe: ED grills Anil Ambani for 9 hrs, calls him again on Mar 30",The agency has also sent a second summons to Essel Group chairman and Rajya Sabha MP Subhash Chandra to appear before it on March ...
287,"March 19, 2020, Thursday","PSB merger: Bank logos along lines of BoB, Vijaya and Dena fusion",Logo of the bigger bank to get prominence; Indian Bank name to be retained post amalgamation
288,"March 19, 2020, Thursday","As Yes Bank services resume, Prashant Kumar reassures safety of deposits","The banking services resumed at 6 pm on March 18, 2020, and customers were able to get full services by visiting the branches ..."
289,"March 19, 2020, Thursday",YES Bank remits over Rs 397 crore to Jagannath Temple Administartion,Yes Bank had resumed complete services on March 18 after the Reserve Bank of India placed it under moratorium on March 5.
290,"March 19, 2020, Thursday",Ind-Ra revises rating watch on YES Bank to 'evolving' from 'negative',"The RWE indicates the possibility of the ratings being either upgraded, downgraded or affirmed."
291,"March 19, 2020, Thursday",YES Bank money laundering case: Anil Ambani appears before ED in Mumbai,The agency is expected to record the statement of the 60-year-old Ambani under the Prevention of Money Laundering Act (PMLA).
292,"March 19, 2020, Thursday",Covid-19: Centre asks banks to delay declaring companies' accounts as NPAs,FIEO President Sharad Kumar Saraf said that the spread of Covid-19 to over 144 countries points to the most challenging times for ...
293,"March 19, 2020, Thursday",YES Bank gets Rs 60k-cr line of credit from RBI to resume operations,RBI Governor Shaktikanta Das on Monday had said the regulator was ready to offer liquidity if required
294,"March 18, 2020, Wednesday","Asset quality, growth fears crop up for NBFCs over YES Bank, virus scare",The Street is sceptical of the sustainability of rich valuations of large players such as Bajaj Finance and Housing Development ...
295,"March 18, 2020, Wednesday","RBI receives Rs 27,096 cr bids in 5th LTRO conducted for Rs 25,000 cr","The RBI allotted an amount of Rs 25,012 crore, with a pro-rata allotment percentage to 92.27 per cent"
296,"March 18, 2020, Wednesday","To maintain liquidity, RBI to purchase Rs 10,000-crore govt bonds via OMO",The central bank will conduct open market operations (OMO) on March through a multi-security auction
297,"March 18, 2020, Wednesday",YES Bank crisis: Madhu Kapur sells 25 million shares worth Rs 160 cr,Three-fourth of this holding has been locked-in for three years as part of the restructuring plan for the bank
298,"March 18, 2020, Wednesday","HDFC Bank: Steepest single-day fall, gains wiped off; caution warranted","On Wednesday, the private lender's stock saw its steepest single-day fall of 9.9 per cent in nearly 12 years; it is down 33 per ..."
299,"March 18, 2020, Wednesday",YES Bank resumes operations; all services available for customers now,The government notified the YES Bank reconstruction scheme last week
300,"March 18, 2020, Wednesday",Stressed NBFCs relying more on banks to meet funding requirements: CARE,Non-banking financial companies (NBFCs) are struggling to raise funds from the capital market due to higher cost and lack of ...
301,"March 18, 2020, Wednesday",Banks to approach RBI for relief on NPA classification amid Covid-19 fears,"The appeal to the Reserve Bank of India (RBI) will be made via the Indian Banks' Association, the two senior bankers said, asking ..."
302,"March 18, 2020, Wednesday",All banking services to resume from evening; ATMs have cash: YES Bank,"On March 5, the RBI had imposed a moratorium on YES Bank, restricting withdrawals to Rs 50,000 per depositor till April 3 in view ..."
303,"March 18, 2020, Wednesday",IndusInd Bank says it is financially strong amid speculation around stock,"On Wednesday, the bank's stock on the BSE fell by Rs. 61.10 or 9.20 per cent to close at Rs. 603.05 from its previous close"
304,"March 18, 2020, Wednesday","YES Bank looks to recover Rs 8,500 cr from loan defaulters in next fiscal",Administrator Prashant Kumar said the bank had made adequate preparations for any surge in withdrawal of deposits
305,"March 18, 2020, Wednesday",Coronavirus impact: IBA to seek relief package for financial institutions,"One of the possibilities that banks would explore is to split duties and responsibilities, apart from working in different shifts ..."
306,"March 18, 2020, Wednesday",HSBC appoints interim boss Noel Quinn as chief executive officer,Unicredit boss Jean Pierre Mustier and incoming UBS Group Ralph Hamers were among those reported to have caught Tucker's eye
307,"March 17, 2020, Tuesday","ICICI Bank gets 7.97% stake in YES Bank with Rs 1,000-cr capital infusion","According to the reconstruction scheme, 75 per cent of the total investment by the bank would be locked in for three years, ICICI ..."
308,"March 17, 2020, Tuesday",The mystery behind surreal gain in crisis-hit YES Bank's stock price,"Rs 10K-cr infusion, lock-in and hurried short-covering led to 2.3x surge in the stock"
309,"March 17, 2020, Tuesday","DBS Bank, Bharti AXA join hands for insurance plan covering Covid-19","The plan would cover all medical conditions, including Covid-19, and up to 10 days of hospitalisation, with a cover of Rs 5,000 ..."
310,"March 17, 2020, Tuesday","SBI to up YES Bank stake to 49%, will not sell share before 3 yrs: Chairman","Stating that the investors will not regret coming on board a new Yes Bank, he pointed to the massive rise in the share price of ..."
311,"March 17, 2020, Tuesday","ED files fresh money laundering cases against YES Bank's Rana Kapoor, wife","Kapoor is already facing an ED criminal case for receiving alleged kickbacks, through companies purportedly controlled by his ..."
312,"March 17, 2020, Tuesday","Share exchange ratio for merger remains unchanged, says Indian Bank",The Board of Directors on March 5 approved fair equity share exchange ratio at 115 equity shares of Rs 10 each of Indian Bank for ...
313,"March 17, 2020, Tuesday","YES Bank ATMs full of cash, normal operations from tomorrow: Prashant Kumar","""Our customers will be able to enjoy all services available before the moratorium,"" said Prashant Kumar at a press conference in ..."
314,"March 17, 2020, Tuesday","We are financially strong, well-capitalised and profitable, says RBL Bank","The lender said market rumours around financial health and stability of the bank are totally misplaced, motivated and not based ..."
315,"March 17, 2020, Tuesday",RBI tells banks to put in place biz continuity plans to prevent disruption,"Banks and regulated entities ""should also assess the impact on their balance sheet,"" it said"
316,"March 17, 2020, Tuesday","YES Bank case: ED summons Anil Ambani, Subhash Chandra and Naresh Goyal","The agency also calls Subhash Chandra, Naresh Goyal, Kapil Wadhawan, and Peter Kerkar in money laundering probe"
317,"March 16, 2020, Monday",Don't rush to withdraw deposits from YES Bank: RBI governor Shaktikanta Das,Das said the central bank had enough instruments for use if needed - they would be deployed at a time that would maximise impact
318,"March 16, 2020, Monday","Coronavirus scare: SBI Cards drops 10% on debut, HNIs lose Rs 200 per share","The weak trading debut contrasted the stellar demand seen during SBI Cards' Rs 10,300-crore IPO earlier this month"
319,"March 16, 2020, Monday",New valuation gap between top tier pvt sector banks and their small peers,"BL Bank, for example, is down 47.2 per cent during the period. Its m-cap is down from ~15,700 crore on February 20 to ~8,283 ..."
320,"March 16, 2020, Monday",Moody's upgrades YES Bank's ratings; outlook changed to positive,The rating action concludes the review with direction uncertain that was initiated on Yes Bank's ratings on 06 March 2020. Ailing ...
321,"March 16, 2020, Monday",YES Bank crisis: Rana Kapoor's custody extended by four days till March 20,"The sessions court in Mumbai on Monday extended the custody of Rana Kapoor, former managing director and chief executive officer ..."
322,"March 16, 2020, Monday",Moody's upgrades YES Bank ratings; outlook changed to positive,The central bank had superseded YES Bank board on April 5 and placed it under an administrator
323,"March 16, 2020, Monday",Coronavirus outbreak disrupts PSB merger as banks put programmes on hold,"According to the banks, they have either put the sessions on hold or are opting for e-learning instead of classroom sessions."
324,"March 16, 2020, Monday","HDFC to hold 7.97% stake in YES Bank for Rs 1,000 crore capital infusion","On Friday, HDFC said it is investing in 100 crore equity shares of Rs 2 each in Yes Bank for a consideration of Rs 10 per share ..."
325,"March 16, 2020, Monday",NSE decides to pre-pone YES Bank's exclusion from indices to this Thursday,"Public shareholders have Rs 8,673 cr exposure to bank"
326,"March 16, 2020, Monday","Investments in YES Bank aimed at providing stability, says SBI chief","SBI Card, the second largest largest credit card issuer in the country, got listed at 13 per cent discount at Rs 658 on the BSE, ..."
327,"March 16, 2020, Monday",Customers can access all banking services from Wednesday evening: Yes Bank,"Yes Bank customers will be able to access full banking services from Wednesday evening, as the moratorium will be lifted ..."
328,"March 16, 2020, Monday","Yes Bank trading curbs: FPIs, institutional investors flag concerns",Several market observers said FPIs and other institutional investors have raised concerns regarding difficulty in liquidating ...
329,"March 16, 2020, Monday",YES Bank AT1 bond write-down reflects distinct treatment for private banks,"The bailout scheme requires YES Bank to write down about Rs 8,700 crore ($1.2 billion) of outstanding AT1s"
330,"March 16, 2020, Monday","YES Bank to be dropped from Nifty 50, and other Nifty indices from March 19","In Nifty 100, Adani Transmission will replace Yes Bank, while in Nifty 500, Sterling and Wilson Solar will be added"
331,"March 16, 2020, Monday",Tamilnad Mercantile Bank to seek shareholders' approval for IPO again,"TMB has 20,600 shareholders"
332,"March 16, 2020, Monday",IDFC First Bank plans to invest Rs 250 crore in crisis-hit YES Bank,"The authorised capital of Yes Bank has been increased to Rs 6,200 crore, Finance Minister Nirmala Sitharaman said on Friday."
333,"March 16, 2020, Monday","YES Bank looks to contain slippages to around Rs 8,500 crore in FY21",Its standard advances after subtracting net NPAs were about Rs 1.75 trillion at end-December
334,"March 16, 2020, Monday","Fresh blows, disappointments to investors of crisis-hit YES Bank","Auditors cast doubts on bank's ability to remain a going concern, investors holding more than 100 shares barred from selling"
335,"March 15, 2020, Sunday",YES Bank crisis: How Rana Kapoor's firm expanded aggressively through loans,"According to sources, the Kapoor companies invested around $10-11 million in Awfis but their shareholding got diluted as new ..."
336,"March 15, 2020, Sunday","With India-Iran trade at standstill, banks set to lose low cost deposits","For about last six months, India has stopped importing oil from Iran, and thus oil companies have stopped depositing money to the ..."
337,"March 14, 2020, Saturday","Yes Bank reports Rs 18,564.2-crore loss in Q3; NPAs saw a sharp rise","Gross NPAs gallop to Rs 40,709 crore in Dec 19"
338,"March 14, 2020, Saturday",Why microfinance crisis is still not over even 10 years after the clampdown,"Andhra Pradesh's Ordinance to regulate MFIs has been a double-edged sword for the poor, with some digging deeper into debt, ..."
339,"March 14, 2020, Saturday",Federal Bank to invest Rs 300 cr in Yes Bank at Rs 10 per equity share,"SBI is investing Rs 7,250 crore in the ailing lender. LIC, HDFC, ICICI, Axis and Kotak Mahindra and other investors have also ..."
340,"March 14, 2020, Saturday",Yes Bank crisis: Federal Bank to invest Rs 300 cr for 300 mn shares,The Union Cabinet on Friday approved a reconstruction plan proposed by the RBI for bailing out fund-starved Yes Bank.
341,"March 14, 2020, Saturday",Govt notifies YES Bank rescue scheme; moratorium to be lifted on March 18,Three-year lock-in period for investors
342,"March 14, 2020, Saturday",Bandhan Bank to invest Rs 300 cr in Yes Bank as part of reconstruction plan,"ICICI Bank, HDFC, Axis Bank and Kotak Mahindra Bank too on Friday said they will join the SBI-led consortium and invest in Yes ..."
343,"March 14, 2020, Saturday",YES Bank crisis: RBI's Moratorium on lender to be lifted on March 18,"RBI had on March 5 put a moratorium on Yes Bank restricting withdrawals to Rs 50,000 per depositor till April 3"
344,"March 14, 2020, Saturday",PNB set to revamp business and strategy of five regional rural banks,The consultancy or advisory firm will conduct assessment of core business opportunities and work towards a holistic operating ...
345,"March 14, 2020, Saturday","YES Bank crisis: CBI files another case against Rana Kapoor, wife",'Conspired' with Avantha group and bought house at discounted price
346,"March 13, 2020, Friday",YES Bank recast scheme: Additional tier-I bonds see spike in yields,Market participants say ask yields for other large-sized banks' AT-1 bonds have hardened further
347,"March 13, 2020, Friday",YES Bank row: Maharashtra civic bodies asked not to keep money in pvt banks,"Taking part in discussion on the Yes Bank issue, he said the government would take a review to know the quantum of civic bodies' ..."
348,"March 13, 2020, Friday","YES Bank gets Rs 3,100-cr lifeline from pvt lenders; moratorium to go soon","The YES Bank reconstruction plan will include an equity investment of at least Rs 11,350 crore from various entities, including ..."
349,"March 13, 2020, Friday",Lord Jagannath's money in YES Bank: Odisha House panel to probe,The committee will inquire into the deposit of the Lords money in the private bank by the Shree Jagannath Temple Administration
350,"March 13, 2020, Friday","ICICI Bank, HDFC, Kotak and Axis Bank join SBI to invest in YES Bank",The ICICI Bank in a regulatory filing said that the board has approved an equity investment of up to Rs 1000 crore in equity ...
351,"March 13, 2020, Friday","CBI books YES Bank founder Rana Kapoor, wife, and others in fresh case",The probe agency is carrying out searches in Delhi and Mumbai at multiple locations
352,"March 13, 2020, Friday","ICICI Bank to invest Rs 1,000 cr in Yes Bank; to hold stake in excess of 5%","""This investment is likely to result in ICICI Bank Ltd holding in excess of 5 per cent shareholding in Yes Bank,"" the lender said ..."
353,"March 13, 2020, Friday",Union Cabinet clears draft resolution scheme for YES Bank revival,The scheme was announced a day after the RBI imposed a month-long moratorium on YES bank
354,"March 13, 2020, Friday","SBI to invest Rs 7,250 cr in crisis-hit YES Bank as part of RBI rescue plan","Under the reconstruction scheme, SBI is to buy up to 49 per cent of YES Bank and cannot reduce its holding below 26 per cent for ..."
355,"March 12, 2020, Thursday",YES Bank fiasco: RBI asks states not to withdraw funds from private banks,"'We strongly believe that such a move can have banking and financial sector stability implications,' the letter stated"
356,"March 12, 2020, Thursday",LVB asserts liquidity coverage ratio higher than RBI-mandated level,"The bank would like to take this opportunity ""to assure our customers that their deposits are safe in our bank"""
357,"March 12, 2020, Thursday","Ensure credit not disrupted after bank merger, Finance Ministry tells PSBs",The FM met chief executives of public sector banks which are going to be merged from April 1
358,"March 12, 2020, Thursday","Banks' credit grows 6.13%, deposits 9% in the second half of Feb: RBI data",Growth in advances to the services sector decelerated to 8.9% from 23.9% in January 2019
359,"March 12, 2020, Thursday","SBI approves Rs 7,250 cr fund infusion into Yes Bank, to pick up 49% stake",SBI said its shareholding in Yes Bank will remain within 49 per cent of the paid up capital of the private lender and following ...
360,"March 12, 2020, Thursday","PMC Bank scam: Mumbai Police arrests former director, two others","Jasvinder Singh Banwait, Vishwanatha Shridhar Prabhu and Shripad Govind Jere were arrested on Thursday"
361,"March 12, 2020, Thursday",YES Bank bondholders say will withdraw court plea if RBI accepts offer,"Overall, more than Rs 8,000 crore of investments are exposed to YES Bank's AT-1 bonds"
362,"March 12, 2020, Thursday",Yes Bank crisis: RBI asks state govts not to move deposits from pvt banks,"Himachal Pradesh Chief Minister Jai Ram Thakur informed the Assembly that more than Rs 1,900 crore belonging to the state ..."
363,"March 12, 2020, Thursday",RBI announces USD INR sell/buy swap for liquidity amid Coronavirus,"The first sell/buy swap auction involving $2 billion will be held on Monday, the central bank said"
364,"March 12, 2020, Thursday",RBI may come to the rescue of bleeding markets with liquidity-boost,The market has been expecting an off-cycle interest rate cut by the Reserve Bank of India but the source said no such step is ...
365,"March 12, 2020, Thursday","Rana Kapoor's wife Bindu was director in 42 firms, some named in CBI FIR","Former Yes Bank founder, Rana Kapoor's wife, Bindu was a director in the main investment and holding companies associated with ..."
366,"March 12, 2020, Thursday",Bandhan Bank to gradually lower its microcredit exposure: CEO Ghosh,"When the private lender started operations in August 2016, microcredit constituted 85 per cent of its total loan portfolio"
367,"March 12, 2020, Thursday","YES Bank bailout may renew fund, liquidity pressure on NBFIs: Fitch","The move comes even as the impact of coronavirus is beginning to be felt in India, raising further risks to economic growth and ..."
368,"March 12, 2020, Thursday",ICAI to review YES Bank's financial statements for FY18 and FY19,"Firms say there are limits to audits identifying ever-greening of loans, or flagging suspect collateral securities"
369,"March 12, 2020, Thursday","Over 100 people in Yes Bank's 'top management' may lose ESOPs, bonuses","The first-of-its-kind move will mark the activation of RBI's ironclad November 4, 2019 guidelines on the compensation"
370,"March 12, 2020, Thursday","YES Bank crisis: PE firms want to invest at Rs 10/share, on par with SBI","JC Flowers, Tilden, Cerberus ask SBI to prepare a clean-up plan"
371,"March 12, 2020, Thursday","ED probes Rana Kapoor's role in YES Bank's Rs 30,000-cr bad loans",The special court under the Prevention of Money Laundering Act granted an extension to keep Rana Kapoor under custody till March ...
372,"March 12, 2020, Thursday","ED identifies real estate assets of Rana Kapoor family in India, abroad",To seek provisional attachment in next few weeks
373,"March 11, 2020, Wednesday","YES Bank planning to sell Rs 4,000-crore exposure to Vodafone Idea",Proceeds to be used to shore up liquidity
374,"March 11, 2020, Wednesday",YES Bank crisis: Cabinet likely to take up revival plan on March 13,RBI Governor Shaktikanta Das had met SBI Chairman Rajnish Kumar on Friday to discuss the way forward.
375,"March 11, 2020, Wednesday",L&T moves Bombay HC to secure provident funds exposure to YES Bank,Infra giant has Rs 100 crore of exposure to bank's AT-1 bonds
376,"March 11, 2020, Wednesday","We are well capitalised, depositors need not worry: Karnataka Bank","We have been consistently maintaining CRAR above the minimum prescribed by the RBI as well as the bank's internal policy, ..."
377,"March 11, 2020, Wednesday","YES Bank shares attract hefty SLB premium, high volatility can add risk",The SLB mechanism allows traders to borrow securities that they may not have to meet their obligations
378,"March 11, 2020, Wednesday","SBI says reducing indirect taxes, and not rate cuts, can lift consumption",It said a rate cut is unlikely to work in isolation as bank transmission of RBI's rate cut has been slow
379,"March 11, 2020, Wednesday","SBI pares savings account interest rate to 3%, scraps minimum balance fine","No more SMS charges, Home and auto loan customers to gain as MCLR is slashed by 10-15 bps in tenth such cut this year"
380,"March 11, 2020, Wednesday",Yes Bank customers can make Rs 2 lakh payments for loans via other banks,The announcement comes a day after its customers were allowed inward IMPS and NEFT services for the same purposes
381,"March 11, 2020, Wednesday",NBFCs' challenges could intensify following Yes Bank restructuring: Fitch,"The move on Yes Bank comes as the impact of the coronavirus is beginning to be felt in India, raising further risks to economic ..."
382,"March 11, 2020, Wednesday",SBI does away with minimum balance requirement in savings accounts,"SBI, India's largest bank, has more than 24,000 branches and over 400 million customers"
383,"March 11, 2020, Wednesday","SBI cuts retail deposit rates by up to 50 bps, reduces MCLR by 10-15 bps","In view of adequate liquidity in the system, bank in a statement said it has realigned interest rates on Term Deposits with ..."
384,"March 11, 2020, Wednesday","Deal with bondholders 'in process', says Yes Bank administrator","""We are in the process,"" said Prashant Kumar, the administrator appointed by the Reserve Bank of India (RBI)"
385,"March 11, 2020, Wednesday",Bandhan Bank opens 125 banking outlets after RBI lifts restrictions,The banking outlets also include doorstep banking units and home loan service centres
386,"March 11, 2020, Wednesday","Bank is financially strong, well capitalised and profitable: RBL Bank","The bank's capital adequacy ratio is at 16.08 per cent, much higher than the regulatory requirement of 11.5 per cent"
387,"March 11, 2020, Wednesday","We are financially strong and well capitalised, confirms RBL Bank","The statement comes in the wake of the Yes Bank crisis, following which stock prices of various banks went sharply down."
388,"March 11, 2020, Wednesday","SBI lowers FD, lending rates by up to 15 bps in its 10th cut this year",Overnight and one-month MCLRs have been reduced by 15 basis points to 7.45 per cent each. Three-month MCLR has been revised to ...
389,"March 11, 2020, Wednesday",YES Bank crisis: Sebi may impose curbs on MFs' exposure to perpetual bonds,"According to the data sourced from primemfdatabase.com, MFs' exposure to the AT-1 bonds - also called perpetual bonds - stood at ..."
390,"March 11, 2020, Wednesday",YES Bank founder Rana Kapoor tried to influence loan decisions: Gill to ED,"Some aides of Kapoor, former board members may be asked to join probe"
391,"March 10, 2020, Tuesday","YES Bank resumes inward NEFT, IMPS services; customers can now pay dues",YES Bank administrator Prashant Kumar said that the moratorium imposed by the Reserve Bank of India could be lifted before the ...
392,"March 10, 2020, Tuesday",ED seizes Rajiv Gandhi painting; many of YES Bank's big loans under scanner,"The Enforcement Directorate has widened its probe in the YES Bank case, taking it beyond loans given to DHFL; it is now looking ..."
393,"March 10, 2020, Tuesday",YES Bank to transform into a retail bank: Administrator Prashant Kumar,"Hopeful that moratorium on withdrawal will be lifted by Friday, says bank administrator"
394,"March 09, 2020, Monday",YES Bank crisis: Axis Trustee moves HC against AT-1 bond cancellation,"The central government, represented by the department of financial services and YES Bank, and the RBI have been included in the ..."
395,"March 09, 2020, Monday",YES Bank fallout: Troubled borrowers may soon face a serious credit crunch,"A substantial portion of YES Bank's corporate loans are ""bilateral transactions"", and fall outside the pale of consortium"
396,"March 09, 2020, Monday",Housing finance has key role in making India $5 trn economy: Keki Mistry,"For the housing sector, the authorities are aware of the strong linkages it has with the economy."
397,"March 09, 2020, Monday","Business not as usual: YES Bank changes way banks, Mint Road are looked at","Former RBI governor, Urijit Patel, had said in the aftermath of the blowout at PNB that the banking regulator was better ..."
398,"March 09, 2020, Monday",FM Nirmala Sitharaman to review bank merger preparedness on Thursday,Banks likely to set up common call centres and monitoring cells
399,"March 09, 2020, Monday",YES Bank fallout: CBI books Rana Kapoor's wife and three daughters,"Yes Bank has been put under a moratorium by the RBI till April 3, during which customers are not allowed to withdraw more than Rs ..."
400,"March 09, 2020, Monday",YES Bank crisis: Paying loan? Shift ECS mandate to a nationalised bank,"If you are paying a personal/home loan or doing SIPs, shift ECS mandate to another bank. It just might make sense to have one ..."
401,"March 09, 2020, Monday","Congress asks Modi to explain 'sinking banks', not divert attention","""Prime Minister, you need to tell the nation what is the BJP's connection to the Yes Bank and its owner,"" Randeep Surjewala"
402,"March 09, 2020, Monday","ED investigating big loans issued by Yes Bank, Kapoor's foreign assets","A dozen alleged shell firms, Kapoor family investments of Rs 2,000 crore and over Rs 4,500 crore worth of transactions are under ..."
403,"March 09, 2020, Monday","Yes Bank customers 'sensed trouble', withdrew Rs 18,110 cr in 2018","The difference in deposits between March 2019 to September 2019, reflects withdrawals to the tune of Rs 18,110 crore"
404,"March 09, 2020, Monday",Hopeful of moratorium being lifted this week: Yes Bank administrator,"The bank, which had over Rs 2.09 lakh crore in deposits, was put under moratorium last Thursday due to an inability to raise ..."
405,"March 09, 2020, Monday","Meet Prashant Kumar, SBI veteran asked to steer Yes Bank in rough seas",Kumar's mettle was tested in field while leading Kolkata circle as chief General Manager and as general manager in erstwhile ...
406,"March 09, 2020, Monday","Yes Bank crisis: Working to restore all services soon, says Kumar","Before the RBI action, YES Bank had deferred announcement of its earnings for the 3rd quarter of 2019-20 to March 14 or before. ..."
407,"March 09, 2020, Monday","Yes Bank may resume normal operations by Friday, says Prashant Kumar","RBI on Thursday took control of Yes Bank, after the lender - which is laden with bad debts - failed to raise the capital it needs ..."
408,"March 09, 2020, Monday","YES Bank insolvency may tighten credit markets, widen economic pain: S&P","S&P Global Ratings on Monday said quick resolution of Yes Bank's insolvency will keep India's banking sector contagion at bay, ..."
409,"March 09, 2020, Monday",YES Bank: Anmi urges RBI to consider exempting capital market transactions,"The development comes after YES Bank on Thursday was put under a moratorium, with the RBI capping deposit withdrawals at Rs ..."
410,"March 09, 2020, Monday","YES Bank debt writedown to raise borrowing cost, hit sector capital-raising","RBI said it would work on a revival plan, as part of which bonds classified as AT1 capital will be written down ""permanently, in ..."
411,"March 09, 2020, Monday",Banking stocks slide to 13-month low amid fallout from YES Bank crisis,"YES Bank, weighed down by an increasing pile of bad debt, had struggled for months to raise the capital it needs to stay above ..."
412,"March 09, 2020, Monday",YES Bank scam: CBI carries out searches at 7 locations on bribery charges,Teams of CBI officers are carrying out operations at the residence and official premises of the accused in Mumbai
413,"March 09, 2020, Monday","YES Bank crisis: Rana Kapoor in ED custody, faces Rs 4K-cr kickback probe","12 shell firms, 2 UK assets, 44 paintings under ED scanner; London-bound daughter stopped at Mumbai Airport; CBI books Kapoor and ..."
414,"March 09, 2020, Monday",Statsguru: How PSBs deal with integration in a challenging biz environment,The RBI in December 2019 noted that private sector banks accounted for 69 per cent of incremental loans in 2018-19
415,"March 09, 2020, Monday",YES Bank fallout: Axis Trustee Services seeks clarity on AT-1 bondholders,RBI's draft reconstruction scheme for YES Bank suggested a permanent write-down of these bonds outstanding as of March 5.
416,"March 09, 2020, Monday",Merger of 10 PSBs into 4: Gains may not accrue soon for investors,"Experts say concern over growth, credit cost, and asset quality would restrict valuation improvement despite sharp correction in ..."
417,"March 09, 2020, Monday",Retail investors bought YES Bank shares as institutions exited en masse,"Soon after the RBI announced the moratorium, global bank JP Morgan pegged YES Bank shares at Rs 1 a share."
418,"March 09, 2020, Monday","YES Bank clients' Rs 1,500-crore SBI Cards IPO applications hang in balance","Regulators, bankers in a huddle to resolve issue"
419,"March 08, 2020, Sunday",Allow Puri Jagannath Temple to withdraw Rs 545 cr from YES Bank: Odisha FM,"During the period of moratorium, the Yes Bank Ltd will not, without the permission in writing of the RBI, make payment to a ..."
420,"March 08, 2020, Sunday","Depositors' money safe in banks, concerns based on 'flawed' analysis: RBI","""RBI closely monitors all the banks and hereby assures all depositors that there is no such concern of safety of their deposits ..."
421,"March 08, 2020, Sunday","Indian banks well capitalised, no reason to worry: CEA Subramanian",He said that it is a wrong method to assess a lender's health based on the ratio of deposit to m-cap (market capitalisation)
422,"March 08, 2020, Sunday","Rana Kapoor, hard-driving executive who rarely said no to giving loans","Weak compliance, poor governance and greed led to the bank's failure as it lent to borrowers who did not have the ability to"
423,"March 08, 2020, Sunday","YES Bank crisis: ED widens probe, searches homes of Rana Kapoor's daughters","Sources said the agency might also register a separate case against Rana Kapoor, depending on the outcome of the search"
